23,ULTG CILEGON,GI 150KV ANYER,PHT 150kV ASAHIMAS,,PENGHANTAR 150kV,150 kV,HAR OFF GI ANYER PHT 150kV ASAHIMAS,M.UPT,ULTG,FEB, 3,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 3,8:23:00,FEB, 3,16:00:00,457,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,ULTG SURALAYA,GITET 500KV SURALAYA (HYBRID),7AB7 DIAMETER#7 500kV,,DIAMETER 500kV,500 kV,HAR OFF GITET SRLYA 7AB7 DIA#7 500kV,M.UPT,ULTG,FEB, 4,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 4,8:27:00,FEB, 4,13:44:00,317,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ULTG CILEGON,GI 150KV ASAHIMAS,PHT 150kV ANYER,,PENGHANTAR 150kV,150 kV,HAR OFF GI ASAHI PHT 150kV ANYER,M.UPT,ULTG,FEB, 4,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 4,8:23:00,FEB, 3,16:00:00,457,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ULTG SURALAYA,GITET 500KV SURALAYA (HYBRID),GT#7,,PEMBANGKIT 500kV,500 kV,HAR OFF GITET SRLYA BAY GT#7,M.UPT,ULTG,FEB, 5,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 5,8:43:00,FEB, 5,17:13:00,510,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ULTG RANGKAS,GI 150KV MENES BARU,TRF#1 150/20kV,,TRAFO 150/20kV,150 kV,HAR OFF GI MNSRU TRF#1 150/20kV 60MVA,M.UPT,ULTG,FEB, 5,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 5,9:35:00,FEB, 5,20:30:00,655,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ULTG RANGKAS,GI 150KV KOPO,TRF#2 150/20kV,,TRAFO 150/20kV,150 kV,HAR OFF GI KOPO TRF#2 150/20kV 60MVA,M.UPT,ULTG,FEB, 7,8:00:00,16:00:00,,JADWAL ULANG,,,permintaan distribusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ULTG RANGKAS,GI 150KV MENES BARU,TRF#2 150/20kV,,TRAFO 150/20kV,150 kV,Har Off Bay Trafo #2,M.UPT,ULTG,FEB, 10,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 10,8:37:00,FEB, 10,18:10:00,573,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ULTG CILEGON,GI 150KV CHANDRA ASRI,TRF#1 150/20kV,,TRAFO 150/20kV,150 kV,HAROFF GI CNAS TRFO#1,M.UPT,ULTG,FEB, 10,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 10,10:10:00,FEB, 10,20:42:00,632,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,ULTG RANGKAS,GI 150KV SAKETI,PHT 15OkV MALINGPING#2,,PENGHANTAR 150kV,150 kV,Har Off Bay Malingping #2,M.UPT,ULTG,FEB, 11,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 11,8:06:00,FEB, 11,16:14:00,488,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ULTG RANGKAS,GI 150KV KOPO,TRF#1 150/20kV,,TRAFO 150/20kV,150 kV,Har Off Bay Trafo #1 GI Kopo,M.UPT,ULTG,FEB, 12,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 12,9:27:00,FEB, 12,17:22:00,475,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,ULTG RANGKAS,GIS 150KV PLTU LABUAN,GT#1,,PEMBANGKIT 150kV,150 kV,Har Off Bay GT #1,M.UPT,ULTG,FEB, 13,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 13,9:36:00,FEB, 13,15:33:00,357,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,ULTG CILEGON,GI 150KV CILEGON BARU,TRF#2 150/20kV,,TRAFO 150/20kV,150 kV,HAR OFF GI CLGRU TRF #2 150/20kV 60MVA,M.UPT,ULTG,FEB, 14,8:00:00,16:00:00,,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,ULTG SURALAYA,GISTET 500KV SURALAYA BARU,PHT 500kV SURALAYA (HYBRID)#1,,PENGHANTAR 500kV,500 kV,HAROFF GITET SLYRU PHT 500kV SLY LAMA,M.UPT,ULTG,FEB, 14,8:00:00,16:00:00,,JADWAL ULANG,,,kondisi sistem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,ULTG RANGKAS,GI 150KV SAKETI,PHT 150kV MALINGPING#1,,PENGHANTAR 150kV,150 kV,Har Off Bay Malingping #1 GI 150 kV Saketi,M.UPT,ULTG,FEB, 18,8:00:00,16:00:00,,TERLAKSANA,,,,FEB, 18,8:34:00,FEB, 18,20:42:00,728,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,ULTG RANGKAS,GI 150KV KOPO,TRF#3 150/20kV,,TRAFO 150/20kV,150 kV,HAR OFF GI KOPO BAY TRAFO #3,M.UPT,ULTG,APR, 1,8:00:00,16:00:00,,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ULTG SURALAYA,GI 150KV SURALAYA,TRF#1 150/20kV,,TRAFO 150/20kV,150 kV,HAR OFF GI SLAYA TRF#1 150/20kV 30MVA,M.UPT,ULTG,APR, 2,8:00:00,16:00:00,,TERLAKSANA,,,,APR, 2,8:15:00,APR, 2,17:59:00,584,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ULTG RANGKAS,GI 150KV RANGKASBITUNG BARU,PHT 150kV BUNAR BARU#2,,PENGHANTAR 150kV,150 kV,HAROFF GI RKBRU PHT BUNAR#2 150kV,M.UPT,ULTG,APR, 6,8:00:00,16:00:00,,TERLAKSANA,,,,APR, 6,8:49:00,APR, 6,16:24:00,455,ADA,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
