23,ULTG HARAPAN INDAH,GIS 150KV KANDANG SAPI,BUSBAR #2 150kV,,BUSBAR 150kV,150 kV,HAR OFF BUSBAR #2 (2A) GIS KANDANG SAPI,M. UPT,ULTG,JAN, 20,08:00,16:00,480,TERLAKSANA,,,,JAN, 21,08:00,JAN, 21,16:00,480,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
24,ULTG ANCOL,GISTET 500KV PRIOK,7A4 DIAMETER#4 500 kV,,DIAMETER 500kV,500 kV,HAR OFF PMT 7A4 (MUARA KARANG #2) GISTET PRIOK,M. UPT,ULTG,JAN, 21,07:00,15:00,480,TERLAKSANA,,,,JAN, 21,09:28,JAN, 21,13:09,180,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
25,ULTG ANCOL,GISTET 500KV PRIOK,7AB4 DIAMETER#4 500 kV,,DIAMETER 500kV,500 kV,HAR OFF PMT 7AB4 GISTET PRIOK,M. UPT,ULTG,JAN, 21,07:00,15:00,480,TERLAKSANA,,,,JAN, 21,09:27,JAN, 21,13:09,180,ADA,ADA,,,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
26,ULTG HARAPAN INDAH,GIS 150KV KANDANG SAPI,BUS SECTION/TIE #1 150kV,,BUSTIE/BUS SECTION 150kV,150 kV,HAR OFF BUSTIE #1/BUS SECTION #1 GIS KANDANG SAPI,M. UPT,ULTG,JAN, 21,08:00,16:00,480,TERLAKSANA,,,,JAN, 22,08:23,JAN, 22,15:30,420,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
27,ULTG PULOGADUNG,GIS 150KV PULOMAS,TRF#2 150/20kV,,TRAFO 150/20kV,150/20 kV,HAR OFF TRAFO #2 GIS PULOMAS,M. UPT,ULTG,JAN, 22,08:00,16:00,480,TERLAKSANA,,,,JAN, 22,10:30,JAN, 22,16:31,360,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
28,ULTG ANCOL,GISTET 500KV PRIOK,7B4 DIAMETER#4 500 kV,,DIAMETER 500kV,500 kV,HAR OFF PMT 7B4 (MUARA TAWAR #2) GISTET PRIOK,M. UPT,ULTG,JAN, 22,07:00,15:00,480,TERLAKSANA,,,,JAN, 22,10:49,JAN, 22,13:00,120,ADA,ADA,,,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
29,ULTG ANCOL,GI 150KV PLUMPANG,PHT 150kV KANDANG SAPI#2,,PENGHANTAR 150kV,150 kV,HAR OFF BAY KANDANGSAPI #2 GI PLUMPANG,M. UPT,ULTG,JAN, 27,08:00,16:00,480,TERLAKSANA,,,,JAN, 27,08:48,JAN, 27,17:05,480,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
30,ULTG HARAPAN INDAH,GIS 150KV KANDANG SAPI,PHT 150kV PLUMPANG#2,,PENGHANTAR 150kV,150 kV,HAR OFF BAY & SKTT PLUMPANG #2 GIS KANDANG SAPI,M. UPT,ULTG,JAN, 27,08:00,16:00,480,TERLAKSANA,,,,JAN, 27,08:49,JAN, 27,16:00,420,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
31,ULTG HARAPAN INDAH,GIS 150KV PENGGILINGAN,TRF#1 150/20kV,,TRAFO 150/20kV,150/20 kV,HAR OFF TRAFO #1 GIS PENGGILINGAN,M. UPT,ULTG,JAN, 31,08:00,16:00,480,TERLAKSANA,,,"Ditemukan Anomali Pada Rele Mekanik (Bucholz) 
Sudah bersuart ke UP2B perpanjangan Waktu untuk perbaikan Anomali",JAN, 31,08:42,JAN, 31,21:08,720,ADA,ADA,,,ROT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
32,ULTG ANCOL,GI 150KV KEMAYORAN,PHT 150kV PADEMANGAN#2,,PENGHANTAR 150kV,150 kV,HAR OFF BAY PADEMANGAN #2 GI KEMAYORAN,M. UPT,ULTG,JAN, 31,08:00,16:00,480,TERLAKSANA,,,"HUTANG ROT 2025
DIkarenakan Surat Edaran PLN UIT JBB Untuk Sisa Har Rutin di 2025 DIjadwalkan Ulang ke 2026 Terkait Tindak Lanjut Gangguan K3 di GI Modern",JAN, 31,09:22,JAN, 31,14:57,300,ADA,ADA,,,ROB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026
