,CAWANG,CAWANG,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,28,,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
,ULTG CAWANG,GIS 150KV Cipinang,PHT 150kV CAWANG BARU #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB,3,8:00:00,16:00:00,480,TERLAKSANA,,,,FEB, 4,8:15:00,FEB, 4,17:33:00,558,ADA,ok,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV JATIWARINGIN,PHT 150kV NEW TAMBUN #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB,5,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan R-Bekasi,FEB, 5,7:52:00,FEB, 5,16:42:00,530,ADA,ok,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Cipinang,BUSBAR #1 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB,10,8:00:00,16:00:00,480,TERLAKSANA,,,,FEB, 10,8:00:00,FEB, 10,13:19:00,319,ADA,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Cipinang,BUSBAR #2 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB,10,8:00:00,16:00:00,480,TERLAKSANA,,,,FEB, 10,13:19:00,FEB, 10,15:50:00,151,ADA,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Cipinang,KOPEL BUS 150kV,,KOPEL 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB,10,8:00:00,16:00:00,480,TERLAKSANA,,,,FEB, 10,8:00:00,FEB, 10,15:50:00,470,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GI 150KV KARET LAMA,PHT 150kV MAMPANG DUA #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB, 3,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Ijin Padam P2B/APD/KIT (Sistem),Kondisi sistem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV BUDIKEMULIAAN,BUSBAR #1 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB, 5,8:00:00,16:00:00,480,TERLAKSANA,,,,FEB, 5,8:00:00,FEB, 5,16:00:00,480,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV BUDIKEMULIAAN,BUSBAR #2 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB, 5,8:00:00,16:00:00,480,TERLAKSANA,,,,FEB, 5,8:00:00,FEB, 5,16:00:00,480,ADA,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV MANGGARAI,KOPEL BUS 150kV,,KOPEL 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB, 1,8:00:00,16:00:00,480,TERLAKSANA,,,,FEB, 1,8:19:00,FEB, 1,11:36:00,197,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV Abadi Guna Papan,TRF#3 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB, 7,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan pekerjaan buspro,FEB, 8,8:46:00,FEB, 8,18:09:00,563,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV PLTD SENAYAN,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB, 10,8:00:00,16:00:00,480,TERLAKSANA,,,Bersaamaan dengan Har Diameter dan Trafo,FEB, 10,8:21:00,FEB, 10,17:17:00,536,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV PLTD SENAYAN,5B5 DIAMETER#5 150kV,,DIAMETER 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB, 10,8:00:00,16:00:00,480,TERLAKSANA,,,Bersaamaan dengan Har Diameter dan Trafo,FEB, 10,8:21:00,FEB, 10,17:17:00,536,ADA,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV Abadi Guna Papan,TRF#1 150/20kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB, 7,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Ijin Padam P2B/APD/KIT (Sistem),Kondisi sistem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GAMBIRLAMA,PHT 150kV CEMPAKA PUTIH #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB, 1,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Ijin Padam P2B/APD/KIT (Sistem),Kondisi sistem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150kV CEMPAKA PUTIH,PHT 150KV GAMBIR LAMA #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,FEB, 1,8:00:00,16:00:00,480,JADWAL ULANG,UNCONTROLLABLE,UnCon. Ijin Padam P2B/APD/KIT (Sistem),Kondisi sistem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
