,CAWANG,CAWANG,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,,28,,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
,ULTG MAMPANG,GIS 150KV TAMAN RASUNA,TRF#1 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 9,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan Har Distribusi,MAY, 19,11:14:00,MAY, 19,23:22:00,728,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV CSW,PHT 150kV TAMAN SAMBAS,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 23,8:00:00,16:00:00,480,JADWAL ULANG,,,Menunggu pekerjaan bersamaan dengan MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV ABADI GUNA PAPAN,PHT 150kV CAWANG BARU,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 17,8:00:00,16:00:00,480,TERLAKSANA,,,,MAY, 17,8:40:00,MAY, 17,23:22:00,882,ADA,ok,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV ABADI GUNA PAPAN,PHT 150kV TAMAN RASUNA,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 10,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Har Off SKTT,MAY, 10,8:22:00,MAY, 10,17:32:00,550,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV TAMAN RASUNA,PHT 150kV ABADI GUNA PAPAN #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,MAY, 10,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Har Off SKTT,MAY, 10,8:22:00,MAY, 10,17:32:00,550,ADA,ok,13,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV JATIRANGON,TRF#5 150/20kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,20,8:00:00,16:00:00,480,TERLAKSANA,,,,JUN, 20,9:19:00,JUN, 20,19:14:00,595,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV KARET BARU,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,23,8:00:00,16:00:00,480,TERLAKSANA,,,,JUN, 23,8:21:00,JUN, 23,16:26:00,485,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GEDUNGPOLA,TRF#3 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,25,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan FYI,JUN, 10,8:25:00,JUN, 10,17:53:00,568,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV DANAYASA,TRF#1 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,20,8:00:00,16:00:00,480,TERLAKSANA,,,PEKERJAAN LANJUT SAMPAI JULI (BERSAMAAN DENGAN PENGGANTIAN TRAFO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GISTET 500KV CAWANG BARU,PHT 500kV BEKASI,,PENGHANTAR 500kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,27,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan pekerjaan korektif di sisi GITET Bekasi,JUN, 26,7:00:00,JUN, 26,15:00:00,480,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GISTET 500KV CAWANG BARU,7B2 DIAMETER#2 500kV,,DIAMETER 500kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,27,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan pekerjaan korektif di sisi GITET Bekasi,JUN, 26,7:00:00,JUN, 26,15:00:00,480,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GISTET 500KV CAWANG BARU,7AB2 DIAMETER#2 500kV,,DIAMETER 500kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,27,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan pekerjaan korektif di sisi GITET Bekasi,JUN, 26,7:00:00,JUN, 26,15:00:00,480,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV CIBUBUR,PHT 150kV CIBINONG #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,9,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV CIBUBUR,PHT 150kV JATIRANGON #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,23,8:00:00,16:00:00,480,TERLAKSANA,,,,JUN, 23,7:14,JUN, 23,15:32:00,498,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV JATIRANGON,PHT 150kV CIBUBUR #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,23,8:00:00,16:00:00,480,TERLAKSANA,,,,JUN, 24,7:06:00,JUN, 24,14:25:00,439,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV PONDOK KELAPA,PHT 150kV JATIWARINGIN #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,11,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan pekerjaan pemasangan armorod,JUN, 3,8:06:00,JUN, 3,17:15:00,549,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV PONDOK KELAPA,PHT 150kV BEKASI#2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,6,8:00:00,16:00:00,480,JADWAL ULANG,,,,, 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV JATIWARINGIN,PHT 150kV PONDOK KELAPA #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,11,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan pekerjaan pemasangan armorod,JUN, 4,8:24:00,JUN, 4,1655,936,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GEDUNGPOLA,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,25,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengen pekerjaan tripping UP2B,JUN, 25,8:05:00,JUN, 25,17:47:00,582,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV MANGGARAI,PHT 150kV PULOMAS #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,28,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengen pekerjaan cleaning,JUN, 28,6:49:00,JUN, 28,17:19:00,630,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV DUKUHATAS,PHT 150kV SETIABUDI #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,30,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Har Off SKTT,JUN, 30,7:44:00,JUN, 30,16:11:00,507,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GI 150KV KARET LAMA,PHT 150kV KARET BARU#2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,20,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Har Off SKTT,JUN, 20,8:25:00,JUN, 20,15:34:00,429,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV KARET BARU,PHT 150kV KARET LAMA#2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,20,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Har Off SKTT,JUN, 20,8:25:00,JUN, 20,15:34:00,429,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV KARET BARU,PHT 150kV KEBON JERUK#2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,13,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Har Off SKTT,JUN, 13,8:10:00,JUN, 13,21:33:00,803,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150kV CEMPAKA PUTIH,BUSBAR #2 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,10,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150kV CEMPAKA PUTIH,BUSBAR #1 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,10,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150kV CEMPAKA PUTIH,KOPEL BUS 150kV,,KOPEL 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,10,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV SENAYAN,BUSBAR #1 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,27,8:00:00,16:00:00,480,TERLAKSANA,,,Tanpa padam ,JUN, 27,8:00:00,JUN, 27,16:00:00,480,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV SENAYAN,BUSBAR #2 150kV,,BUSBAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,27,8:00:00,16:00:00,480,TERLAKSANA,,,Tanpa padam ,JUN, 27,8:00:00,JUN, 27,16:00:00,480, ,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV SENAYAN,KOPEL BUS 150kV,,KOPEL 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,27,8:00:00,16:00:00,480,TERLAKSANA,,,,JUN, 27,8:11:00,JUN, 27,12:09:00,238,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GAMBIRLAMA,TRF#3 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN, 6,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan penggantia OTI,JUN, 6,8:24:00,JUN, 6,17:35:00,551,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV TAMAN RASUNA,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan pemeliharaan busbar 20kV,JUN, 20,8:56:00,JUN, 20,19:21:00,625,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV CSW,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN, 3,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan ekerjaan rehab kubikel 20kV,JUN, 3,8:00:00,JUN, 3,16:00:00,480,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV SETIABUDI,PHT 150kV DUKUH ATAS#2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUN,,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan dengan Har Off SKTT,JUN, 30,7:44:00,JUN, 30,16:11:00,507,ADA,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GI 150KV KARET LAMA,TRF#1 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL, 18,8:00:00,16:00:00,480,TERLAKSANA,,,,JUL, 18,,JUL, 18,,,,ADA,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GI 150KV KARET LAMA,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL, 4,8:00:00,16:00:00,480,TERLAKSANA,,,,JUL, 4,08:26,JUL, 4,19:04,,ADA,OK,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GEDUNGPOLA,TRF#1 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL, 23,8:00:00,16:00:00,480,TERLAKSANA,,,,JUL, 23,,JUL, 23,,,,ADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV Senayan,TRF#2 150/22kV,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL, 26,8:00:00,16:00:00,480,TERLAKSANA,,,,JUL, 26,8:00:00,JUL, 26,16:00:00,,ADA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV PLTD SENAYAN,GSUT#1,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL,,8:00:00,16:00:00,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG MAMPANG,GIS 150KV PLTD SENAYAN,GSUT#2,,TRAFO 150/20kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL,,8:00:00,16:00:00,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GI 150KV CAWANG LAMA,PHT 150kV DEPOK #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL, 30,8:00:00,16:00:00,480,TERLAKSANA,,,Bersamaan penggantian DS line,JUL, 30,8:00:00,JUL, 30,16:00:00,,ADA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Cipinang,PHT 150kV PULOMAS #2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL,,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Pondok Kelapa,PHT 150kV BEKASI#2,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL, 6,8:00:00,16:00:00,480,TERLAKSANA,,,,JUL, 6,9:21:00,JUL, 6,16:15:00,,ADA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG CAWANG,GIS 150KV Jatiwaringin,PHT 150kV PONDOK KELAPA #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL, 13,8:00:00,16:00:00,480,TERLAKSANA,,,,JUL, 13,8:48:00,JUL, 13,17:25:00,,ADA,OK,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GAMBIRLAMA,PHT 150kV MENTENG#1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL,,8:00:00,16:00:00,480,,,,,,,,,,,,ADA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV Menteng,PHT 150KV GAMBIR LAMA #1,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL,,8:00:00,16:00:00,480,,,,,,,,,,,,ADA,OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV GEDUNGPOLA,PHT 150kV MANGGARAI,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL,,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV Manggarai,PHT 150kV GEDUNG POLA,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL,,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ULTG KARET,GIS 150KV Cempaka Putih,PHT 150KV TANAH TINGGI,,PENGHANTAR 150kV,,Pemeliharaan Rutin 2 Tahunan,M. ULTG,ULTG,JUL,,8:00:00,16:00:00,480,JADWAL ULANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
